,d_losses
112,0.30454766750335693
113,0.23652803897857666
114,0.33380159735679626
115,0.5015127658843994
116,1.0661269426345825
117,2.011795997619629
118,1.394309163093567
119,0.09997240453958511
120,0.3440282940864563
121,0.2863687574863434
122,0.4025842845439911
123,0.3374948501586914
124,0.29748934507369995
125,0.3122372031211853
126,0.2819187045097351
127,0.27462655305862427
128,0.40901321172714233
129,1.1039727926254272
130,2.155117988586426
131,2.297679901123047
132,0.21467667818069458
133,0.3505968153476715
134,0.359692245721817
135,0.4686075448989868
136,0.42897236347198486
137,0.4003221392631531
138,0.20286551117897034
139,0.2805662155151367
140,0.30286478996276855
141,0.3991311192512512
142,0.29746678471565247
143,0.36368459463119507
144,0.34219443798065186
145,0.30638906359672546
146,0.30136534571647644
147,0.19716869294643402
148,0.2836858928203583
149,0.30254659056663513
150,0.29820290207862854
151,0.289085328578949
152,0.2713595926761627
153,0.22681820392608643
154,0.20319949090480804
155,0.24600350856781006
156,0.12476983666419983
157,0.24817338585853577
158,0.3938755691051483
159,0.30349817872047424
160,0.3663393259048462
161,0.1925157904624939
162,0.14186999201774597
163,0.2503461539745331
164,0.3673885762691498
165,0.36938560009002686
166,0.26496440172195435
167,0.4410071074962616
168,0.3542513847351074
169,0.19978465139865875
170,0.20091576874256134
171,0.23099587857723236
172,0.28295981884002686
173,0.3242739737033844
174,0.41997620463371277
175,0.4501217007637024
176,0.5026259422302246
177,0.43244850635528564
178,0.9225397706031799
179,1.6709591150283813
180,3.1311142444610596
181,0.6107883453369141
182,0.5046036839485168
183,0.6960505247116089
184,0.5828343629837036
185,0.3664802312850952
186,0.1181129440665245
187,0.1637696921825409
188,0.1468617171049118
189,0.20845013856887817
190,0.16871397197246552
191,0.2552737891674042
192,0.19907894730567932
193,0.35517120361328125
194,0.3696329593658447
195,0.6190904974937439
196,0.8049901723861694
197,0.2363588511943817
198,0.2363705039024353
199,0.3102187514305115
200,0.4974690079689026
201,0.3566385805606842
202,0.11750132590532303
