,g_losses
614,2.5261995792388916
615,3.86069393157959
616,2.7212564945220947
617,2.566455125808716
618,6.5638580322265625
619,0.9797858595848083
620,6.018967628479004
621,2.648852586746216
622,3.297226905822754
623,3.5990405082702637
624,3.828740119934082
625,2.8343820571899414
626,3.136711597442627
627,3.3409581184387207
628,2.4906749725341797
629,5.038787841796875
630,1.0247474908828735
631,5.535115718841553
632,2.3891329765319824
633,3.157994270324707
634,1.9758479595184326
635,4.528900146484375
636,1.2205235958099365
637,4.932765483856201
638,3.044095754623413
639,2.1713790893554688
640,4.157676696777344
641,1.8332915306091309
642,4.536595821380615
643,3.4400534629821777
644,2.0955209732055664
645,4.348119735717773
646,1.5367861986160278
647,4.512578964233398
648,1.9371178150177002
649,3.4621598720550537
650,3.620452642440796
651,1.804045557975769
652,4.208883285522461
653,1.9050689935684204
654,3.8157663345336914
655,3.495537042617798
656,3.611362934112549
657,1.8701350688934326
658,5.927586555480957
659,0.6776694655418396
660,5.526627063751221
661,3.5044946670532227
662,1.5356028079986572
663,5.236710548400879
664,2.289696216583252
665,2.716667890548706
666,4.463009834289551
667,0.9248183965682983
668,5.303389072418213
669,2.8373770713806152
670,2.502845048904419
671,3.6814486980438232
672,3.263331174850464
673,2.696493625640869
674,2.995408773422241
675,2.2026073932647705
676,3.0503807067871094
677,2.480311393737793
678,3.3971974849700928
679,2.8260879516601562
680,2.714268445968628
681,3.573193311691284
682,3.0585906505584717
683,2.5286166667938232
684,5.8257036209106445
685,0.3796820342540741
686,4.502425670623779
687,1.4189258813858032
688,3.0380311012268066
689,2.6630916595458984
690,2.1792051792144775
691,2.561009407043457
692,3.0979738235473633
693,2.269408702850342
694,2.051206350326538
695,4.4644365310668945
696,2.0805673599243164
697,3.2809438705444336
698,3.827242851257324
699,2.164003849029541
700,4.626699924468994
701,3.105137348175049
702,2.7779529094696045
703,2.8020780086517334
704,2.7417068481445312
705,3.1383724212646484
706,2.57403302192688
707,2.9638805389404297
708,4.124371528625488
709,1.9382050037384033
710,4.607720851898193
711,3.4681379795074463
712,1.8637642860412598
713,4.70838737487793
714,2.000309467315674
715,3.2147927284240723
716,3.292902946472168
717,2.883453845977783
718,2.8530800342559814
719,1.398323893547058
720,4.882175445556641
721,1.5803015232086182
722,3.0435988903045654
723,2.466521978378296
724,3.1485676765441895
725,4.103341579437256
726,0.8286318778991699
727,5.972139358520508
728,1.8786801099777222
729,3.1414310932159424
730,3.4274497032165527
731,1.3723968267440796
732,4.914822101593018
733,2.2314348220825195
734,3.495793581008911
735,2.538846492767334
736,2.973666191101074
737,3.4675843715667725
738,2.3423779010772705
739,5.0846967697143555
740,2.3867452144622803
741,3.7455334663391113
742,2.9456024169921875
743,3.6675333976745605
744,2.8037192821502686
745,3.0028164386749268
746,4.065223217010498
747,1.6442826986312866
748,4.771633148193359
749,2.181105136871338
750,3.9592623710632324
751,2.1237478256225586
752,4.7069220542907715
753,1.4048370122909546
754,6.251773834228516
755,1.2429512739181519
756,4.130512714385986
757,1.0676480531692505
758,5.228492259979248
759,1.2132481336593628
760,3.8619561195373535
761,3.193876028060913
762,2.960634708404541
763,2.7986690998077393
764,3.643704891204834
765,2.904726505279541
766,3.0231919288635254
767,2.7187750339508057
768,3.0738046169281006
769,3.1574177742004395
770,2.8011088371276855
771,2.8956034183502197
772,3.84017014503479
773,2.51230525970459
774,4.001328468322754
775,2.228600025177002
776,3.6427547931671143
777,2.3679592609405518
778,2.986024856567383
779,2.146775722503662
780,3.8412046432495117
781,1.638905644416809
782,3.8137359619140625
783,1.8129687309265137
784,4.613025188446045
785,2.109377861022949
786,3.5771095752716064
787,4.1470561027526855
788,2.816838264465332
789,3.244230270385742
790,2.988347291946411
791,1.427658200263977
792,6.677261829376221
793,3.644412040710449
794,2.6523327827453613
795,4.423433303833008
796,3.5119667053222656
797,2.3973891735076904
798,4.309470176696777
799,1.3917826414108276
800,4.303323745727539
801,2.1341910362243652
802,3.3997557163238525
803,2.118709087371826
804,4.4796600341796875
805,2.7142715454101562
806,3.140831470489502
807,3.4634599685668945
808,2.217240571975708
809,5.174905776977539
810,0.7230352759361267
811,5.484332084655762
812,2.1808066368103027
813,3.6528475284576416
814,3.622598648071289
815,2.135540246963501
816,4.814359188079834
817,1.4740915298461914
818,4.9495439529418945
819,3.370870590209961
820,3.09199595451355
821,3.6294147968292236
822,3.0597169399261475
823,2.8851282596588135
824,3.8486478328704834
825,2.268692970275879
826,3.9042935371398926
827,3.0115063190460205
828,2.8067760467529297
829,4.352464199066162
830,0.87965989112854
831,7.305431365966797
832,1.9659903049468994
833,4.383751392364502
834,2.724642515182495
835,2.322019577026367
836,3.3298466205596924
837,2.7926487922668457
